attraction_name,attraction_url,region
Atlantic Seaboard,https://www.viator.com/Cape-Town-attractions/Atlantic-Seaboard/d318-a2022,Middle_East_Africa
Pyramid of Khafre,https://www.viator.com/Giza-attractions/Pyramid-of-Khafre/d23032-a13380,Middle_East_Africa
Qasr Al Watan,https://www.viator.com/Abu-Dhabi-attractions/Qasr-Al-Watan/d4474-a99786,Middle_East_Africa
Marrakech Medina (Medina of Marrakesh),https://www.viator.com/Marrakech-attractions/Marrakech-Medina/d5408-a10098,Middle_East_Africa
Cape Spartel,https://www.viator.com/Tangier-attractions/Cape-Spartel/d4388-a21369,Middle_East_Africa
Old Medina of Casablanca (Ancienne Medina),https://www.viator.com/Casablanca-attractions/Old-Medina-of-Casablanca/d4396-a12352,Middle_East_Africa
Dubai Desert Conservation Reserve (DDCR),https://www.viator.com/Dubai-attractions/Dubai-Desert-Conservation-Reserve/d828-a15960,Middle_East_Africa
Khan el-Khalili,https://www.viator.com/Cairo-attractions/Khan-el-Khalili/d782-a99841,Middle_East_Africa
Pyramid of Menkaure,https://www.viator.com/Giza-attractions/Pyramid-of-Menkaure/d23032-a13377,Middle_East_Africa
Old Cairo (Misr Al-Qadima),https://www.viator.com/Cairo-attractions/Old-Cairo-Misr-Al-Qadima/d782-a1500,Middle_East_Africa
Tizi-n'Tichka Pass,https://www.viator.com/Marrakech-attractions/Tizi-nTichka-Pass/d5408-a18556,Middle_East_Africa
Camps Bay,https://www.viator.com/Cape-Town-attractions/Camps-Bay/d318-a15804,Middle_East_Africa
Abu Dhabi Heritage Village,https://www.viator.com/Abu-Dhabi-attractions/Abu-Dhabi-Heritage-Village/d4474-a9674,Middle_East_Africa
Giraffe Centre,https://www.viator.com/Nairobi-attractions/Giraffe-Centre/d5280-a11275,Middle_East_Africa
The Pearl-Qatar,https://www.viator.com/Doha-attractions/The-Pearl-Qatar/d4453-a24557,Middle_East_Africa
Morocco Sahara Desert,https://www.viator.com/Morocco-Sahara-attractions/Morocco-Sahara-Desert/d22141-a11959,Middle_East_Africa
Bluewaters Dubai,https://www.viator.com/Dubai-attractions/Bluewaters-Dubai/d828-a100216,Middle_East_Africa
Bur Dubai Village,https://www.viator.com/Dubai-attractions/Bur-Dubai-Village/d828-a11917,Middle_East_Africa
Ras Mohammed National Park,https://www.viator.com/Sharm-el-Sheikh-attractions/Ras-Mohammed-National-Park/d827-a1868,Middle_East_Africa
Tomb of Tutankhamun,https://www.viator.com/Luxor-attractions/Tomb-of-Tutankhamun/d826-a2139,Middle_East_Africa
Chobe National Park,https://www.viator.com/Victoria-Falls-attractions/Chobe-National-Park/d5309-a11890,Middle_East_Africa
